,년도,분기,호선명,지하철역,시간대_00~06_승차_인원,시간대_06~11_승차_인원,시간대_11~14_승차_인원,시간대_14~17_승차_인원,시간대_17~21_승차_인원,시간대_21~24_승차_인원,시간대_00~06_하차_인원,시간대_06~11_하차_인원,시간대_11~14_하차_인원,시간대_14~17_하차_인원,시간대_17~21_하차_인원,시간대_21~24_하차_인원
9139,2019,1,1호선,동대문,48316,275654,246636,308213,272121,152193,20307,318591,342459,303427,276606,167167
9140,2019,1,1호선,동묘앞,10922,113157,195341,364918,252627,55180,12374,228485,334559,307909,113747,55248
9141,2019,1,1호선,서울역,45005,770523,848818,943594,1569930,783849,46931,1805897,775222,796738,834665,413391
9142,2019,1,1호선,시청,10029,152433,237567,434235,902388,429898,15636,1200561,389118,300786,207619,71043
9143,2019,1,1호선,신설동,29266,299522,227111,269044,421303,150794,14713,504768,217542,212921,252565,145283
9144,2019,1,1호선,제기동,15573,338071,394550,552313,396144,117673,11747,464666,542838,454064,252790,114707
9145,2019,1,1호선,종각,25290,169580,387146,709272,1485708,1006412,18916,1862232,634580,505130,559762,118696
9146,2019,1,1호선,종로3가,23647,176347,491577,794766,941506,590867,14934,859955,849986,636994,453305,98607
9147,2019,1,1호선,종로5가,7983,152337,399821,639463,844349,354870,13180,928372,611024,484326,317857,71473
9148,2019,1,1호선,청량리(서울시립대입구),37006,592234,432699,587750,473975,194331,26296,460383,547931,551390,511578,262055
9149,2019,1,2호선,강남,119014,828392,1075790,1648521,2754670,2339862,74977,3369028,1543901,1476157,2046719,676750
9150,2019,1,2호선,강변(동서울터미널),35540,1375157,742149,677078,746769,445525,40264,693007,553736,786329,1131987,673021
9151,2019,1,2호선,건대입구,92575,899913,454071,591621,819449,878762,54192,626642,612554,782035,1430479,691379
9152,2019,1,2호선,교대(법원.검찰청),23727,442502,411924,599438,993562,602267,36008,1376520,610796,545970,672876,274036
9153,2019,1,2호선,구로디지털단지,132277,1795529,699511,717442,1498340,646881,73642,1739007,554389,730639,1341762,934883
9154,2019,1,2호선,구의(광진구청),44617,962522,310347,289351,335156,172179,32598,341708,220620,323302,643053,432564
9155,2019,1,2호선,낙성대,39810,1124762,392964,376336,443095,222678,46762,443043,270435,358690,747543,555199
9156,2019,1,2호선,당산,25206,653849,276591,264259,453954,205793,32834,570357,223398,281810,552037,359008
9157,2019,1,2호선,대림(구로구청),106532,987288,388612,379116,479478,205453,38674,536346,372954,433336,671485,505474
9158,2019,1,2호선,도림천,1311,33086,15487,19707,24353,7409,2396,40512,12787,14666,22774,13748
9159,2019,1,2호선,동대문역사문화공원,41261,179550,210683,359142,487534,275809,17884,501715,340109,332999,375025,232293
9160,2019,1,2호선,뚝섬,15908,306673,181825,235706,565536,215163,17945,732239,193267,206820,298063,149544
9161,2019,1,2호선,문래,15892,456495,222607,258037,550686,217878,21085,706566,209288,224938,366116,201081
9162,2019,1,2호선,방배,15603,382101,241955,316164,493217,227414,22719,619126,252424,252455,346663,207016
9163,2019,1,2호선,봉천,47902,1016178,339657,303986,307026,149781,34658,292166,234174,334230,624031,422658
9164,2019,1,2호선,사당,67043,986971,516244,623705,787278,698677,60189,802686,539188,651443,1333854,703506
9165,2019,1,2호선,삼성(무역센터),27460,314715,496833,984665,2120256,1117209,34914,2627033,941623,763965,654959,195160
9166,2019,1,2호선,상왕십리,19301,504002,196690,184782,236640,109092,18712,272206,134144,180965,341828,213465
9167,2019,1,2호선,서울대입구(관악구청),111256,1728741,697183,723472,842027,528853,87597,765416,558278,703398,1350784,907444
9168,2019,1,2호선,서초,7817,281493,288193,393781,696770,296618,22711,1025980,310439,256685,245506,105645
9169,2019,1,2호선,선릉,34677,441886,545550,946156,1835554,861689,37707,2239366,613631,518843,524353,219919
9170,2019,1,2호선,성수,23312,361927,256058,365352,1054621,376322,35483,1433381,296045,319082,382590,176538
9171,2019,1,2호선,시청,9014,142241,245001,379426,984931,370582,10481,1264805,272039,239229,189242,73345
9172,2019,1,2호선,신답,2664,74869,20555,17830,17254,5795,2061,17878,14137,23688,58326,31379
9173,2019,1,2호선,신당,21955,393541,206518,242973,296876,142582,18266,334389,206683,241907,346921,193958
9174,2019,1,2호선,신대방,74469,1209952,381837,323312,354089,154946,42975,335946,228902,366453,725375,579442
9175,2019,1,2호선,신도림,130223,1559799,735078,857027,1126635,720036,116574,1051391,747627,823828,1416218,805060
9176,2019,1,2호선,신림,137659,2841016,902478,827292,892118,557242,121459,703833,611368,910756,2023056,1442188
9177,2019,1,2호선,신설동,3633,60053,72480,109358,128657,35506,4062,143965,85272,70184,55183,29829
9178,2019,1,2호선,신정네거리,25365,409700,139420,115177,114583,46018,17952,115076,88158,143072,299119,174731
9179,2019,1,2호선,신촌,62171,581965,597190,797599,1030536,984587,41490,1061750,793642,764105,1102055,455992
9180,2019,1,2호선,아현,14080,341835,161388,162669,172373,69164,15200,193462,107202,144345,238577,162077
9181,2019,1,2호선,양천구청,13702,310135,106019,81992,75773,25217,14978,85385,63268,101091,210260,135086
9182,2019,1,2호선,역삼,28037,322628,431427,736320,1818025,794791,35414,2695093,635828,515635,530112,202472
9183,2019,1,2호선,영등포구청,22282,486395,258847,296848,576310,249942,26038,730739,243617,264754,408514,221243
