,년도,분기,호선명,지하철역,시간대_00~06_승차_인원,시간대_06~11_승차_인원,시간대_11~14_승차_인원,시간대_14~17_승차_인원,시간대_17~21_승차_인원,시간대_21~24_승차_인원,시간대_00~06_하차_인원,시간대_06~11_하차_인원,시간대_11~14_하차_인원,시간대_14~17_하차_인원,시간대_17~21_하차_인원,시간대_21~24_하차_인원
11572,2020,1,2호선,용답,6848,89958,31246,30040,27493,10597,3355,24520,20669,33378,64740,39146
11573,2020,1,2호선,용두(동대문구청),3067,58296,30220,36061,36945,13292,1832,44927,29143,35541,49417,22297
11574,2020,1,2호선,을지로3가,10135,112279,161238,263378,747046,306278,7569,987154,209949,179403,187783,61604
11575,2020,1,2호선,을지로4가,4813,77529,125183,198002,438507,110403,5496,520005,167334,137706,87618,35114
11576,2020,1,2호선,을지로입구,15582,177859,311588,543574,1500069,705876,18139,1971340,485905,380515,363215,131510
11577,2020,1,2호선,이대,9786,208248,163481,233354,283447,145558,13088,318136,208352,199791,225097,115625
11578,2020,1,2호선,잠실(송파구청),45289,1464510,687462,902109,1577389,992893,44802,1533748,807431,894307,1444618,713228
11579,2020,1,2호선,잠실나루,9361,396061,169962,196566,226176,78103,13241,310232,152031,146561,259214,142055
11580,2020,1,2호선,잠실새내,21946,597061,237569,249548,302147,226565,18379,284277,218835,287259,574880,273238
11581,2020,1,2호선,종합운동장,5591,208610,85962,103050,122903,63832,9821,166931,80507,105562,178693,91083
11582,2020,1,2호선,충정로(경기대입구),10795,198945,102183,118032,263301,83790,8464,369716,89685,97738,152072,87592
11583,2020,1,2호선,한양대,5917,78430,67622,108089,188850,77286,3931,265703,106905,79846,76424,40145
11584,2020,1,2호선,합정,40651,489017,263268,361623,721540,525081,29153,740144,388981,428649,723956,286712
11585,2020,1,2호선,홍대입구,120167,778283,545194,803934,1337749,1350911,61510,987145,997480,1191919,1562832,641206
11586,2020,1,3호선,가락시장,8161,211694,108064,120812,175003,71895,7337,199343,93958,110822,173180,87006
11587,2020,1,3호선,경복궁(정부서울청사),11373,203813,188867,317119,551915,231106,9623,701629,277350,218628,212229,89749
11588,2020,1,3호선,경찰병원,7331,226010,82190,87012,123408,42221,4826,181082,67044,76259,144932,80243
11589,2020,1,3호선,고속터미널,22323,450434,572456,788962,1041043,721984,16678,911754,724699,783170,820362,293421
11590,2020,1,3호선,교대(법원.검찰청),6823,114478,124093,194998,382687,196471,3972,347882,94627,83935,110867,34152
11591,2020,1,3호선,구파발,27552,745981,219100,232657,239171,115549,24059,275339,182895,219687,463618,261393
11592,2020,1,3호선,금호,13650,302685,99285,86854,86879,41096,8033,79725,65374,99402,203392,115425
11593,2020,1,3호선,남부터미널(예술의전당),11799,389525,322000,404679,846911,336145,10128,1022353,346996,389898,437292,168718
11594,2020,1,3호선,녹번,23262,552619,146035,129073,131548,45524,13967,148008,79921,125564,318138,192622
11595,2020,1,3호선,대청,10429,266191,103524,114778,165443,57258,11061,170874,69977,93716,180729,113904
11596,2020,1,3호선,대치,7755,231735,116137,140125,209177,151643,8333,243847,131886,136579,199413,98051
11597,2020,1,3호선,도곡,3489,94665,52938,70325,123110,44099,5639,168760,55225,48646,73446,37760
11598,2020,1,3호선,독립문,14011,181962,98347,104033,105217,36593,10159,162282,83931,88376,129267,69759
11599,2020,1,3호선,동대입구,4786,72134,70282,118124,271407,103103,6450,355271,119549,92309,89098,37194
11600,2020,1,3호선,매봉,5348,164691,90700,129691,327879,111364,5245,413607,90178,85708,134284,62854
11601,2020,1,3호선,무악재,5151,146339,46393,38153,42047,15577,4334,44253,29713,45447,100587,62725
11602,2020,1,3호선,불광,26963,521940,195217,211158,221620,102513,16204,279882,199861,246368,413365,214050
11603,2020,1,3호선,수서,14776,388147,200276,206544,303089,141536,16848,380890,155506,193234,323567,178387
11604,2020,1,3호선,신사,21677,194978,238566,421322,922427,552705,13569,1086785,431880,429222,481530,129352
11605,2020,1,3호선,안국,7340,100504,167356,310679,725347,236265,8126,880075,309012,238728,148438,48057
11606,2020,1,3호선,압구정,14285,244965,281832,462885,919218,478370,13220,1252987,451694,385329,398076,110295
11607,2020,1,3호선,약수,18847,329154,155977,161185,219257,116586,15053,246349,120766,152459,277056,145219
11608,2020,1,3호선,양재(서초구청),19211,411326,303145,448456,1174440,478082,18891,1605118,371528,340828,506448,222025
11609,2020,1,3호선,연신내,81119,1400332,470477,440189,407192,233784,44329,374054,324974,472920,1008899,576814
11610,2020,1,3호선,오금,9655,241201,65950,56359,81053,28905,5411,89410,39656,58360,136559,82200
11611,2020,1,3호선,옥수,9686,271919,109168,110764,124928,58633,9344,126835,84491,115865,225535,128914
11612,2020,1,3호선,을지로3가,5089,50127,79154,129100,383651,141408,3758,502047,112257,98022,99010,25388
11613,2020,1,3호선,일원,5593,215441,121860,143531,153480,40195,8579,237404,108090,96400,134562,81579
11614,2020,1,3호선,잠원,4196,178332,71987,69001,80264,32190,6398,93155,52054,64212,122789,73774
11615,2020,1,3호선,종로3가,4216,43973,84995,151185,349861,142331,4261,429090,198010,169667,119770,32473
11616,2020,1,3호선,지축,2701,100026,28364,26901,23707,5866,2726,26774,18376,27867,67633,41082
11617,2020,1,3호선,충무로,5,4,8,17,32,21,0,0,0,0,0,0
11618,2020,1,3호선,학여울,1423,38898,20065,28990,40508,12779,1623,52868,20888,21613,28929,15906
11619,2020,1,3호선,홍제,25251,616533,220982,204541,197446,77898,16992,206454,145573,213251,422867,234583
11620,2020,1,4호선,길음,26403,765391,224680,215086,230690,100605,19763,233039,168115,223912,500269,291395
11621,2020,1,4호선,남태령,1426,31810,14223,15443,22377,5295,964,30466,9272,11051,14389,8189
11622,2020,1,4호선,노원,41879,546857,224485,248130,279730,228472,25757,300335,227124,303884,594717,309790
11623,2020,1,4호선,당고개,24586,469296,158591,142406,132521,51365,16601,143998,100335,141753,281386,186547
11624,2020,1,4호선,동대문,27467,123073,233366,408715,571596,183664,13097,721450,344709,265211,163310,84409
11625,2020,1,4호선,동대문역사문화공원,27304,96795,115861,198937,390755,208066,8541,380017,155178,144014,173635,93201
11626,2020,1,4호선,동대문역사문화공원(DDP),10658,27922,28177,56359,144422,61731,2727,159422,44207,37804,50117,22005
11627,2020,1,4호선,동작(현충원),1444,50791,27169,34057,43584,15386,2421,51239,26498,32698,42610,22595
11628,2020,1,4호선,명동,7459,150576,238570,383997,745309,467288,9507,838455,419343,405615,356012,140937
