,년도,분기,호선명,지하철역,시간대_00~06_승차_인원,시간대_06~11_승차_인원,시간대_11~14_승차_인원,시간대_14~17_승차_인원,시간대_17~21_승차_인원,시간대_21~24_승차_인원,시간대_00~06_하차_인원,시간대_06~11_하차_인원,시간대_11~14_하차_인원,시간대_14~17_하차_인원,시간대_17~21_하차_인원,시간대_21~24_하차_인원
13936,2021,1,1호선,동대문,34946,184681,151798,193683,171764,90641,8124,208352,172168,154931,146381,86487
13937,2021,1,1호선,동묘앞,7673,86618,147302,262497,161799,37195,4849,176324,232624,204218,77046,37548
13938,2021,1,1호선,서울역,23987,470426,421339,493942,1000949,415610,16274,1219702,391149,389895,446599,190771
13939,2021,1,1호선,시청,4696,85568,119686,236233,650206,263092,9851,890404,193034,136498,95350,28985
13940,2021,1,1호선,신설동,21339,204777,144866,190997,312367,96653,8143,384676,149965,146256,171578,89262
13941,2021,1,1호선,제기동,13219,265746,305662,369106,250312,72621,5967,359561,354932,318980,179096,87014
13942,2021,1,1호선,종각,6185,105257,211509,395831,1002069,530562,11401,1298410,328868,253532,216299,36940
13943,2021,1,1호선,종로3가,7569,106081,284755,436506,586154,308075,8843,584360,431685,339002,186371,36460
13944,2021,1,1호선,종로5가,4496,105306,249650,408745,579970,190993,9521,699703,360194,284368,139535,32718
13945,2021,1,1호선,청량리(서울시립대입구),27992,400337,302379,391032,294498,96469,12825,349525,328676,356334,309419,143020
13946,2021,1,2호선,강남,15770,528772,638292,1045952,2068544,1450032,31375,2573660,885234,864705,987970,285842
13947,2021,1,2호선,강변(동서울터미널),20064,842575,366471,356441,390365,188063,5561,395197,289529,391899,677906,354941
13948,2021,1,2호선,건대입구,33177,647032,288418,382826,556495,540924,8959,494322,370535,500610,830519,363874
13949,2021,1,2호선,교대(법원.검찰청),5777,311063,277144,431087,815861,411241,19305,1159121,400935,368825,406984,161623
13950,2021,1,2호선,구로디지털단지,101180,1424767,479393,517659,1222761,453585,15199,1513991,394620,524198,1065206,643392
13951,2021,1,2호선,구의(광진구청),34756,772547,224996,220841,256512,131268,4735,275335,174383,259477,562265,333480
13952,2021,1,2호선,낙성대(강감찬),30208,888941,284050,277421,310253,152109,7692,304360,198691,278152,636372,432333
13953,2021,1,2호선,당산,15342,427010,170985,187005,327118,156661,7644,452093,153426,195066,412584,232499
13954,2021,1,2호선,대림(구로구청),86577,731942,246464,255113,331849,121105,9307,407095,239696,304749,489001,341291
13955,2021,1,2호선,도림천,733,30271,16133,20386,24670,6384,943,39059,13132,14319,20900,12191
13956,2021,1,2호선,동대문역사문화공원(DDP),18943,98093,107930,188293,263098,131755,3183,327746,175314,156321,153664,82386
13957,2021,1,2호선,뚝섬,8726,211598,131361,219572,628996,236956,5708,789969,197641,200130,238881,98048
13958,2021,1,2호선,문래,9053,369152,152976,201003,515226,186889,5562,652400,158240,173769,314517,149209
13959,2021,1,2호선,방배,6782,270607,157501,215448,370742,149737,8902,491237,156875,170531,248925,139564
13960,2021,1,2호선,봉천,40493,873303,251229,226513,212477,103201,4181,213155,175282,266706,566089,351859
13961,2021,1,2호선,사당,32068,787423,344394,385591,554492,424294,11735,566556,335497,457513,901757,461135
13962,2021,1,2호선,삼성(무역센터),11257,208278,296062,594477,1577320,691788,16974,2040172,498641,407075,334513,103209
13963,2021,1,2호선,상왕십리,14537,414570,144274,145216,181675,78824,1318,223161,105819,142256,299827,167786
13964,2021,1,2호선,서울대입구(관악구청),83966,1364054,471247,509778,569176,365869,20503,549430,392020,524950,1118536,658044
13965,2021,1,2호선,서초,3266,216252,180263,272592,556695,197237,12328,804557,182304,161803,148805,72620
